file,method,ARI,Silhouette,GeneCorr,missing_fraction,run,Marker_CD34,Marker_SPINK2,Marker_SLAMF7,Marker_CD27,Marker_PF4,Marker_PPBP,Marker_CD79B,Marker_CD79A,Marker_MS4A1,Marker_CD19,Marker_CD72,Marker_CD40,Marker_CD22,Marker_NKG7,Marker_GZMB,Marker_FGFBP2,Marker_SPON2,Marker_KLRC1,Marker_KLRD1,Marker_MS4A7,Marker_FCN1,Marker_S100A12,Marker_S100A9,Marker_S100A8,Marker_FCGR3A,Marker_CD14,Marker_LDHB,Marker_CD4,Marker_CD8B,Marker_CD8A,Marker_CD3D,Marker_CD3E,Marker_CD3G
adata_magic_imputed_mf10_run6.h5ad,MAGIC,1.0,,0.14974031292872478,0.1,6,,,,,0.8800465910084011,0.8750026302294978,,0.9063294256862354,0.8695300540940792,,,,,,0.882932296849701,0.893119873964871,,0.8706588497690422,,,,0.9090700672276121,,,,,,,,,,,
adata_magic_imputed_mf10_run7.h5ad,MAGIC,1.0,,0.1494712902273393,0.1,7,,,,,0.8737006386991508,0.8888438717870503,,0.9051013617491362,0.8265827365544796,,,,,,0.8973235348831051,0.8861800337482707,,0.8454643975155303,,,,0.9045094937820984,,,,,,,,,,,
adata_magic_imputed_mf10_run8.h5ad,MAGIC,1.0,,0.1496140019021595,0.1,8,,,,,0.8770129687939993,0.8767407061674947,,0.8890976607717974,0.8699191299958592,,,,,,0.8967270736107371,0.8869876615548835,,0.8211174920850528,,,,0.8903414139459909,,,,,,,,,,,
adata_magic_imputed_mf10_run9.h5ad,MAGIC,1.0,,0.14927356996354924,0.1,9,,,,,0.909785724115076,0.8678021761742921,,0.8728640444829641,0.886386946016,,,,,,0.8801136615370113,0.8833933026847958,,0.8191388753728827,,,,0.9006169503553336,,,,,,,,,,,
adata_magic_imputed_mf20_run1.h5ad,MAGIC,1.0,,0.14440876961393367,0.2,1,,,,,0.7817765857722034,0.7967824893763723,,0.7729642298327017,0.6963723960854579,,,,,,0.8010291657245557,0.768905377909447,,0.7777861095616312,,,,0.7970232722943863,,,,,,,,,,,
adata_magic_imputed_mf20_run10.h5ad,MAGIC,1.0,,0.1447624469439143,0.2,10,,,,,0.7752236459823654,0.7744554836910045,,0.7772730359035643,0.7537764126887117,,,,,,0.7911132388855107,0.7801394476023475,,0.7827045586269288,,,,0.8001794879022787,,,,,,,,,,,
adata_magic_imputed_mf20_run2.h5ad,MAGIC,1.0,,0.14469866625382452,0.2,2,,,,,0.7760667564090347,0.7688738399956562,,0.7592529976570298,0.7940003146885265,,,,,,0.7793930480549919,0.7811652352581074,,0.7962454233526938,,,,0.7913764883482094,,,,,,,,,,,
adata_magic_imputed_mf20_run3.h5ad,MAGIC,1.0,,0.14450073726648893,0.2,3,,,,,0.7354077666932511,0.7608805051923113,,0.7711601359026663,0.7383092093953328,,,,,,0.7872096613596969,0.7839386758764788,,0.7870441919059532,,,,0.8045555604237196,,,,,,,,,,,
adata_magic_imputed_mf20_run4.h5ad,MAGIC,1.0,,0.14464938919886963,0.2,4,,,,,0.7854777255157667,0.7734103378758067,,0.8114135684394769,0.7684366848475936,,,,,,0.7728999138013462,0.79619195101981,,0.757386324092257,,,,0.8051377499355948,,,,,,,,,,,
adata_magic_imputed_mf20_run5.h5ad,MAGIC,1.0,,0.14432897391270558,0.2,5,,,,,0.8015246759405988,0.7655311425497894,,0.7615519822437987,0.746192885853745,,,,,,0.7925029423504488,0.7738412328825697,,0.7449918571754727,,,,0.7870286334018141,,,,,,,,,,,
adata_magic_imputed_mf20_run6.h5ad,MAGIC,1.0,,0.14456306347762912,0.2,6,,,,,0.7791025882636264,0.7873011193745821,,0.8251559125641986,0.7311875116743732,,,,,,0.7927340106836753,0.7722153437349527,,0.7552871898499389,,,,0.8072723205817671,,,,,,,,,,,
adata_magic_imputed_mf20_run7.h5ad,MAGIC,1.0,,0.14405647024376828,0.2,7,,,,,0.7897648650358682,0.7711474195050546,,0.7749472888109284,0.7407875775453743,,,,,,0.8062749765103886,0.767085535053627,,0.7054339098810922,,,,0.803574342633399,,,,,,,,,,,
adata_magic_imputed_mf20_run8.h5ad,MAGIC,1.0,,0.14452003415491746,0.2,8,,,,,0.7809410046233928,0.8041925521416692,,0.7872997691545464,0.7485442638428255,,,,,,0.7759784288976741,0.7861480365322773,,0.7320790500391479,,,,0.8050364842677502,,,,,,,,,,,
adata_magic_imputed_mf20_run9.h5ad,MAGIC,1.0,,0.14402224771267777,0.2,9,,,,,0.7875590781812736,0.7831859591483709,,0.7895574226674265,0.740525729983212,,,,,,0.7781458633026213,0.7760848527266855,,0.7254198737936361,,,,0.7942645984256478,,,,,,,,,,,
adata_magic_imputed_mf30_run1.h5ad,MAGIC,1.0,,0.13890542809121853,0.3,1,,,,,0.6826054964420563,0.6741024208093365,,0.7298944864277525,0.6779589404860552,,,,,,0.69377970817045,0.6681795655548978,,0.7222949521204864,,,,0.6864414339837032,,,,,,,,,,,
adata_magic_imputed_mf30_run10.h5ad,MAGIC,1.0,,0.1387541265765282,0.3,10,,,,,0.67250416127778,0.6860388565232103,,0.6840779677134138,0.6580102751659902,,,,,,0.6941247998001551,0.6750885203556344,,0.6865994218263745,,,,0.6901722790274493,,,,,,,,,,,
adata_magic_imputed_mf30_run2.h5ad,MAGIC,1.0,,0.1393095430884697,0.3,2,,,,,0.6764546025983725,0.6723639021349023,,0.6699357238032042,0.6803220619044323,,,,,,0.6744709472853802,0.671242473032816,,0.6210650447324864,,,,0.7028737956941853,,,,,,,,,,,
